"","team_season","MP","new_LA_RAPM","new_LA_RAPM__Def","new_LA_RAPM__Off","new_RAPM","new_RAPM__Def","new_RAPM__Off"
"1","2009-10 - ATL",18963.4483333333,23639.7512666667,1162.66376666666,22480.1675166667,26505.4262833333,2853.97821666667,23625.6160833333
"2","2009-10 - BOS",19130.7366666667,16286.39275,10400.6268666667,5891.73893333334,20262.8357833334,13880.0539,6391.54740000001
"3","2009-10 - CHA",18933.39,2285.11263333334,12623.8715333333,-10315.5536666667,11572.5773833333,16304.4880333333,-4662.28828333333
"4","2009-10 - CHI",17224.0033333333,-4910.59871666667,407.320150000003,-5342.73368333333,-3360.57761666666,4938.73590000001,-8274.4987
"5","2009-10 - CLE",18270.95,35036.4312166666,9683.34931666667,25322.2764666666,38059.0085833333,10184.3135333333,27844.2453333333
"6","2009-10 - DAL",21196.415,15734.5573833333,9411.07433333334,6379.87805000001,26087.78355,13481.7732666667,12602.0161666667
"7","2009-10 - DEN",19323.57,23837.1051,2267.05656666666,21575.3094,25474.0135333333,3425.5647,22061.1648833333
"8","2009-10 - DET",19136.2033333333,-1372.3546,-7918.87528333334,6484.48503333334,-9841.14536666668,-11164.9581,1298.2301
"9","2009-10 - GSW",17731.44,-1460.21561666666,-5632.96896666666,4123.29273333333,-7286.13033333332,-9565.85239999999,2289.09655
"10","2009-10 - HOU",19862.4916666666,9636.50296666665,3849.80938333333,5769.20333333332,6826.91758333332,637.525599999999,6180.96854999999
"11","2009-10 - IND",18866.7483333333,1686.02866666668,5497.05121666666,-3833.67241666665,-4836.19246666665,3157.49893333333,-7969.22033333332
"12","2009-10 - LAC",18080.2516666667,-12862.9014666667,-5807.47438333334,-7006.81648333333,-15398.2781666667,-8353.37408333335,-7048.5431
"13","2009-10 - LAL",19233.9816666667,20160.2676333333,10106.3832333333,10027.8366833333,28416.5372833333,16737.30545,11611.86475
"14","2009-10 - MEM",20535.615,4310.52879999998,-7562.54711666668,11885.93815,3316.67588333331,-5897.46976666667,9249.60894999998
"15","2009-10 - MIA",17602.5416666667,16428.3723833333,7906.13301666666,8530.50948333333,18575.2478333333,9760.02181666667,8815.22601666667
"16","2009-10 - MIL",18660.405,12167.6446333333,18238.02685,-6108.12625,16434.8528166667,18657.55615,-2194.13879999999
"17","2009-10 - MIN",19374.0183333333,-25045.875,-8547.3324,-16547.8507166667,-25680.7749166667,-10932.2054166667,-14695.7908166667
"18","2009-10 - NJN",15941.4183333333,-17097.7542666667,-8107.0585,-8996.91273333334,-21505.5768833334,-10165.4802333333,-11368.0897333334
"19","2009-10 - NOH",11322.7616666667,-6784.53735000002,-9160.72246666668,2349.37518333333,-4308.95343333334,-7439.49978333334,3101.05983333333
"20","2009-10 - NYK",16222.0516666667,-6190.10638333334,-13531.6494666667,7328.74635,-5067.74908333333,-12665.38275,7632.44486666667
"21","2009-10 - OKC",17487.9833333333,24882.4301333333,9412.85133333333,15486.32025,23621.6986833333,12694.9714333333,10964.2027166667
"22","2009-10 - ORL",17621.0566666667,28424.8312,15642.9215833333,12789.3649,30316.1018666667,15414.4257333333,14920.27665
"23","2009-10 - PHI",18425.7966666667,-265.449250000002,-19.2873833333506,-277.117316666652,-7679.80058333334,-9423.26365000002,1772.29031666668
"24","2009-10 - PHX",19366.2016666667,18185.7013666667,-6458.48703333333,24652.15855,27272.3307333333,-5953.76,33191.9408166667
"25","2009-10 - POR",19786.75,22689.9658166667,3344.32554999999,19392.0669166667,27013.5418166667,7440.45836666665,19552.05115
"26","2009-10 - SAC",18565.0883333333,-5542.37706666667,-3685.346,-1829.02958333334,-8558.31916666667,-4865.74346666666,-3642.74510000001
"27","2009-10 - SAS",17340.3233333333,25940.9432,8356.23351666667,17545.1819833333,24754.7695166667,10862.2747333333,13879.6519666667
"28","2009-10 - TOR",17867.54,4726.71395,-13274.9479166667,17964.4198,2058.34351666666,-15545.33225,17621.3223666667
"29","2009-10 - UTA",17729.7033333333,27454.514,9506.96148333333,17967.7982333333,28142.0574166667,10011.3220166667,18110.4151333333
"30","2009-10 - WAS",13711.085,-12047.64475,-4864.83311666667,-7175.47693333334,-11727.2471666667,-6862.89663333333,-4900.54758333333
"31","2010-11 - ATL",18839.1883333333,2899.18075000002,-515.772933333342,3475.37148333336,1678.88006666668,1107.20226666666,642.662600000018
"32","2010-11 - BOS",18501.6333333333,26722.7506666667,17567.2795,9132.94750000002,25839.7072166667,18803.77405,7079.64930000001
"33","2010-11 - CHA",18404.3916666667,-17014.7738,-8577.9446,-8453.14231666667,-17727.5322,-6796.44246666666,-10958.5478333333
"34","2010-11 - CHI",20451.3933333333,30256.9349666667,19794.4375,10430.4182833333,32767.4737,23772.73545,8957.44520000002
"35","2010-11 - CLE",19533.0016666667,-12959.5293166667,-6958.71693333333,-5963.41756666667,-20383.44495,-14193.85025,-6153.9726
"36","2010-11 - DAL",20305.52,22408.7076833334,6846.90365,15532.141,25931.9289166667,11589.7390166667,14289.3244
"37","2010-11 - DEN",21672.0083333333,20721.9978,1898.71733333336,18816.7371833333,27908.7781166667,5124.76251666668,22786.9794666667
"38","2010-11 - DET",19880,-6513.69111666664,-17385.59045,10870.5943,-7913.99074999998,-17165.6747,9222.64553333335
"39","2010-11 - GSW",17890.3383333333,-1709.65348333333,-9479.05193333333,7744.15986666666,1573.4472,-9280.34936666666,10834.1498166667
"40","2010-11 - HOU",18087.24,13774.0649166666,-453.96813333335,14194.33595,12508.3998333333,-1391.61978333335,13857.01255
"41","2010-11 - IND",18940.9116666667,6042.96404999998,3213.16178333333,2838.67793333332,1991.12544999998,3123.01153333332,-1147.91185000002
"42","2010-11 - LAC",19380.685,560.381916666689,-4930.07838333333,5533.92705000001,-8097.09439999998,-6378.409,-1692.52414999999
"43","2010-11 - LAL",19527.0216666666,28150.3736,9036.67359999999,19114.6436666667,32959.56585,13241.2372833333,19669.7837
"44","2010-11 - MEM",21254.5966666667,31060.7033333333,10718.7894666667,20328.8981833333,21686.0971166667,8656.30146666667,12959.1828333333
"45","2010-11 - MIA",18364.285,40998.9845833334,8961.70906666666,32007.2768,37736.7266833333,11496.9299333333,26246.03615
"46","2010-11 - MIL",19661.5766666667,2066.81006666668,13609.9012833333,-11525.6916666666,4370.45971666668,18067.949,-13653.95505
"47","2010-11 - MIN",18114.84,-15913.2304833333,-6521.99498333334,-9403.80981666665,-14513.6613666667,-9323.47258333334,-5152.0884
"48","2010-11 - NJN",17947.815,-4741.29711666667,-12866.4854833333,8153.39226666668,-12542.5159666667,-11506.9760166667,-1042.10063333333
"49","2010-11 - NOH",19944.2166666667,17546.4851833333,7076.86048333331,10467.0416166667,10326.2003333333,4945.67966666665,5380.52066666666
"50","2010-11 - NYK",18623.275,3095.21988333333,-15483.31995,18589.9467666667,5249.75739999999,-15807.49415,21045.4606
"51","2010-11 - OKC",19076.2116666667,28091.6211333333,2971.01583333333,25109.9090333333,23187.9305333333,3529.16461666667,19701.2644666667
"52","2010-11 - ORL",19415.88,26032.5158166667,8099.56630000002,17888.99775,26306.7894666667,11849.2920833333,14464.8626333333
"53","2010-11 - PHI",19824.1316666667,15255.9786833333,8078.38158333332,7174.35980000001,14392.1305666667,9452.9693,4921.21735
"54","2010-11 - PHX",19463.6,12216.5057333333,-9640.60976666668,21861.824,8601.74848333331,-7597.67303333335,16237.6658833333
"55","2010-11 - POR",20147.0583333333,34339.5677666667,11502.1514666667,22813.1436333333,25435.2743833333,7302.62685,18129.8731666667
"56","2010-11 - SAC",16827.95,-5944.69356666668,-5091.79113333334,-870.660333333338,-6223.17806666667,631.330116666672,-6837.69921666667
"57","2010-11 - SAS",18204.0583333333,28915.0114666667,9586.65873333332,19331.2732833333,29302.7093333333,9059.97408333332,20221.31365
"58","2010-11 - TOR",18657.5933333333,-10180.64725,-20057.9595833333,9851.19513333334,-18840.1475833333,-21210.2033833333,2332.87646666667
"59","2010-11 - UTA",20598.6316666667,5527.19893333331,-578.762583333335,6071.62659999998,-365.112533333356,-7111.70896666667,6684.04429999998
"60","2010-11 - WAS",17942.5083333333,-12391.4443333333,-8823.76005,-3601.21533333332,-16893.1628166667,-9289.78466666667,-7605.53881666666
"61","2011-12 - ATL",16145.0666666667,12330.9269666667,7909.5058,4443.24999999999,16136.3763333333,7735.54506666667,8418.89331666665
"62","2011-12 - BOS",16366.91,5457.92056666667,9762.46626666666,-4348.13956666666,14394.6054666667,16232.8449333333,-1836.91323333333
"63","2011-12 - CHA",14871.5933333333,-30663.6944666667,-17330.4576833333,-13341.5539666667,-34171.0063,-17612.5457,-16573.1131833333
"64","2011-12 - CHI",15940,22367.5584666667,13869.93985,8481.26898333334,29125.0474666667,16124.71575,13003.59515
"65","2011-12 - CLE",14312.4083333333,-12373.3683833333,-11472.1929333333,-892.967183333316,-15729.1874666666,-11881.6732833333,-3835.34766666664
"66","2011-12 - DAL",16000.0316666667,12401.1873666667,8199.86415,4232.27958333333,10950.4545,9147.44401666666,1798.93789999998
"67","2011-12 - DEN",16317.5466666667,16289.50195,-1443.44054999998,17675.4803666667,8142.33593333335,-7469.02518333331,15615.8236
"68","2011-12 - DET",15965,-9425.57631666667,-3195.45653333332,-6205.06988333334,-11078.3455666667,-6704.09456666665,-4380.97605000001
"69","2011-12 - GSW",14855.9783333333,-9285.36338333332,-5454.30613333332,-3838.72411666667,-10340.6580333333,-12212.2597166666,1837.62353333332
"70","2011-12 - HOU",16196.4333333333,3693.97928333334,-1523.21625,5214.09296666667,8538.81296666666,1758.15955,6775.43746666667
"71","2011-12 - IND",16935.54,10833.5213833334,2012.80906666668,8801.62508333335,15641.5176333334,3531.96823333335,12093.3476166667
"72","2011-12 - LAC",16912.5916666667,22098.1920666667,-960.642166666668,23081.22795,15978.49075,-2448.4995,18383.74975
"73","2011-12 - LAL",16458.19,13065.0399333333,2127.57868333333,10958.16475,13869.6211833333,1407.45735,12437.8641
"74","2011-12 - MEM",16014.6716666667,14794.8695,10158.6572833333,4630.11408333333,14844.42475,10237.3629333333,4599.32881666666
"75","2011-12 - MIA",16069.8766666667,22200.1580666667,12711.7302666667,9545.72065000001,26548.0701333334,12615.5046333334,13970.0984666667
"76","2011-12 - MIL",17345.4566666667,5775.14908333333,-506.986383333332,6308.30943333333,9068.41438333331,-286.736700000005,9361.57711666665
"77","2011-12 - MIN",15940,1195.55835,-4385.61335000001,5571.94646666668,-142.432099999985,-3785.95581666667,3637.60361666669
"78","2011-12 - NJN",17397.7366666667,-9249.66425,-10027.1829166667,764.448100000001,-9803.31840000001,-9691.24148333334,-47.148833333339
"79","2011-12 - NOH",16088.0666666667,-10544.02685,-6199.04975,-4339.89936666667,-5218.61079999999,-571.820033333332,-4611.31073333333
"80","2011-12 - NYK",15940,16091.4382,8553.53210000001,7575.05953333334,14361.86725,9185.47391666668,5191.19471666667
"81","2011-12 - OKC",17090.925,25114.8899833333,7396.32105,17709.4300833333,26953.5189166666,8162.80195,18771.4706833333
"82","2011-12 - ORL",16028.2833333333,12065.0959333333,2261.75666666668,9786.83008333332,12745.11305,2016.01046666668,10751.8962666667
"83","2011-12 - PHI",16154.61,12786.8177833333,12136.1027,668.824216666657,18458.2234333333,14539.9953,3931.32344999999
"84","2011-12 - PHX",15840,10927.83845,-1968.15811666666,12926.5247166667,6383.42120000001,-2719.8409,9104.79125
"85","2011-12 - POR",14272.74,-199.908333333351,-4531.49025000002,4349.20258333333,1160.73773333332,-7270.52263333334,8374.30471666667
"86","2011-12 - SAC",15451.6883333333,-3577.61543333335,-12760.4468166667,9178.05798333332,-9419.48781666668,-13381.9812333333,3922.07554999999
"87","2011-12 - SAS",16483.3783333333,24292.4956333333,7228.11988333331,17091.06125,27499.0819,7756.43991666665,19754.70035
"88","2011-12 - TOR",15050.7366666667,-10384.1129666667,-4931.68813333334,-5486.66704999998,-3879.65606666666,539.375133333321,-4425.64713333332
"89","2011-12 - UTA",16185.5666666667,7181.28940000001,-4312.19559999999,11474.1191,9515.07521666667,-1377.64958333333,10880.0090166667
"90","2011-12 - WAS",14418.9733333333,-3615.11909999999,-2371.96296666667,-1259.28068333333,-3176.55471666666,-1435.21508333333,-1732.24509999999
"91","2012-13 - ATL",20287.215,11214.8774333333,10275.9208333333,888.624866666678,8385.73288333334,6675.01095,1714.47921666667
"92","2012-13 - BKN",19878.2883333333,11346.4260833333,-1597.42056666665,12938.9216166667,12388.8013333334,-1747.98128333332,14154.6898833333
"93","2012-13 - BOS",20594.9416666667,-308.831083333317,4901.17448333334,-5228.50139999999,3720.65615000002,10044.4800833333,-6361.83858333332
"94","2012-13 - CHA",20712.4633333333,-21732.1357,-12804.5155666667,-8948.99741666668,-27777.82135,-18458.1791666667,-9336.03423333334
"95","2012-13 - CHI",20014.4016666667,3256.02245000002,7692.99138333335,-4440.53526666666,8334.04411666668,10974.8565333333,-2641.17103333333
"96","2012-13 - CLE",20509.6083333333,-10586.1798,-10609.4283333333,23.7138500000004,-11734.713,-11793.4120833333,83.5460500000026
"97","2012-13 - DAL",19416.9916666667,5189.94769999999,1340.84168333332,3827.70408333333,6077.06856666665,218.181983333323,5867.87503333333
"98","2012-13 - DEN",19905,25102.30735,1881.17205,23201.7293333333,25990.8642666666,4525.81549999999,21418.7030166667
"99","2012-13 - DET",19272.8583333333,-13185.8681666667,-8138.21393333332,-5027.76075000001,-16182.4334333333,-10666.9487333333,-5588.60861666668
