"","playerId","Player","GP","Min","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DREB","AST","TO","STL","BLK","BLKA","PF","PTS","season","X","playerName","LA_RAPM","LA_RAPM__Def","LA_RAPM__Off","RAPM","RAPM__Def","RAPM__Off","Team","MP"
"1",201985,"AJ Price",50,15.9,2.28,6.4,0.356,0.82,2.98,0.275,1.08,1.62,0.667,0.32,1.12,2.22,1.06,0.58,0.02,0.24,1.22,6.46,"2010-11",3974,"AJ Price",1.5,0.39,1.1,0.04,-0.24,0.27,"IND",795.146666666667
"2",201166,"Aaron Brooks",59,21.76,3.73,9.95,0.375,1.19,4,0.297,2.1,2.37,0.886,0.34,0.98,3.95,1.68,0.58,0.05,0.71,1.95,10.75,"2010-11",3090,"Aaron Brooks",-1.81,-4.77,2.96,-2.66,-3.73,1.07,"PHX",1284.13166666667
"3",201189,"Aaron Gray",41,12.95,1.37,2.41,0.566,0,0,0,0.41,0.83,0.5,1.44,2.73,0.39,0.78,0.27,0.29,0.29,2.34,3.15,"2010-11",3156,"Aaron Gray",0.99,0.04,0.96,0.6,-0.74,1.34,"NOH",530.825
"4",1733,"Al Harrington",73,22.8,3.85,9.25,0.416,1.6,4.49,0.357,1.18,1.6,0.735,1.04,3.51,1.38,1.45,0.53,0.14,0.59,2.77,10.48,"2010-11",2591,"Al Harrington",-0.54,-0.99,0.45,0.35,-0.51,0.86,"DEN",1664.54833333333
"5",201143,"Al Horford",77,35.11,6.66,11.96,0.557,0.03,0.05,0.5,1.95,2.44,0.798,2.36,6.96,3.45,1.55,0.77,1.04,0.47,2.51,15.3,"2010-11",2923,"Al Horford",0.98,-0.01,1,1.05,0.43,0.62,"ATL",2703.70666666667
"6",2744,"Al Jefferson",82,35.86,7.98,16.09,0.496,0,0,0,2.68,3.52,0.761,2.87,6.82,1.82,1.28,0.56,1.87,1.11,2.9,18.63,"2010-11",6741,"Al Jefferson",-0.91,-1.77,0.86,-0.39,-1.14,0.74,"UTA",2940.41333333333
"7",202329,"Al-Farouq Aminu",81,17.92,1.98,5.01,0.394,0.56,1.77,0.315,1.14,1.47,0.773,0.93,2.37,0.74,1.27,0.73,0.31,0.46,1.49,5.64,"2010-11",4123,"Al-Farouq Aminu",-1.01,1.26,-2.27,-1.89,-0.04,-1.85,"LAC",1451.835
"8",201582,"Alexis Ajinca",34,10,1.74,3.91,0.444,0.35,1,0.353,0.38,0.53,0.722,0.5,1.79,0.29,0.53,0.32,0.56,0.15,2.15,4.21,"2010-11",3403,"Alexis Ajinca",-0.75,0.6,-1.35,0.39,0.83,-0.44,"TOR",339.84
"9",202087,"Alonzo Gee",56,19.95,2.16,4.71,0.458,0.3,0.91,0.333,1.29,1.64,0.783,1.11,2.14,0.68,0.98,0.71,0.32,0.68,1.68,5.91,"2010-11",4031,"Alonzo Gee",-2.09,-1.2,-0.89,-2.16,-0.7,-1.46,"CLE",1117.38833333333
"10",2405,"Amar'e Stoudemire",78,36.8,9.54,19,0.502,0.13,0.29,0.435,6.06,7.65,0.792,2.54,5.62,2.59,3.21,0.91,1.92,1.54,3.51,25.27,"2010-11",6327,"Amare Stoudemire",0.97,-1.41,2.38,-0.26,-2.36,2.11,"NYK",2870.01166666667
"11",101161,"Amir Johnson",72,25.73,3.9,6.88,0.568,0,0.01,0,1.75,2.22,0.788,2.62,3.78,1.12,0.96,0.74,1.22,0.67,3.65,9.56,"2010-11",229,"Amir Johnson",4.37,1.15,3.21,2.23,0.79,1.44,"TOR",1852.65166666667
"12",2760,"Anderson Varejao",31,32.06,3.68,6.97,0.528,0,0.06,0,1.74,2.61,0.667,3.16,6.55,1.45,1.29,0.87,1.23,0.68,2.81,9.1,"2010-11",6816,"Anderson Varejao",0.62,1.77,-1.15,-0.47,0.34,-0.81,"CLE",993.895
"13",101154,"Andray Blatche",64,33.94,6.66,14.95,0.445,0.06,0.28,0.222,3.44,4.42,0.777,2.86,5.36,2.25,2.69,1.53,0.8,1.23,2.84,16.81,"2010-11",220,"Andray Blatche",1.48,0.61,0.87,0.01,-0.06,0.07,"WAS",2171.93166666667
"14",2738,"Andre Iguodala",67,36.85,5.04,11.33,0.445,0.91,2.7,0.337,3.1,4.48,0.693,0.91,4.87,6.3,2.06,1.51,0.57,0.34,1.63,14.1,"2010-11",6709,"Andre Iguodala",2.82,2.78,0.04,1.33,1.95,-0.63,"PHI",2468.68833333333
